lm_0_x,lm_0_y,lm_0_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z,dist_8_12,dist_8_16,dist_8_20,dist_12_16,dist_12_20,dist_16_20,label
0.0,0.0,0.0,-0.0415189266204834,-0.195474773645401,-0.049795785969223516,-0.028859972953796387,-0.3027039170265198,-0.053610874390329855,-0.03308945894241333,-0.28178298473358154,-0.037637462889875906,-0.036970317363739014,-0.2399185597896576,-0.02340293866964771,0.008394122123718262,-0.19178083539009094,-0.05242822883101894,0.01899397373199463,-0.32994014024734497,-0.06148934555622532,0.017618179321289062,-0.40387338399887085,-0.05794629273387386,0.009660899639129639,-0.4517374038696289,-0.055834299003805654,0.049179792404174805,-0.17232200503349304,-0.05148233664604618,0.0741167664527893,-0.2881684899330139,-0.063138077085938,0.08040237426757812,-0.3476833701133728,-0.06763547850223972,0.06741631031036377,-0.38338902592658997,-0.07072227639528705,0.038607720295958575,0.10691407282592519,-0.12386792603590809,0.09383948017803917,0.15982033655580552,0.1026952858386374,0.05428060177504529,-0.1213770141146453,-0.07448032840921598,0.06192430421459466,-0.1793664222982809,0.1123881819401884,0.21930227139650837,0.1836285991165688,0.17856633492450774,0.0907129544224895,0.32437049519786904,0.27419851362481523,a_minor
0.0,0.0,0.0,-0.04140028357505798,-0.19501477479934692,-0.05042157705939587,-0.02964729070663452,-0.30193793773651123,-0.054175257795222365,-0.03334733843803406,-0.28066548705101013,-0.03808579232610043,-0.03695493936538696,-0.2389506995677948,-0.023746619113452994,0.008728265762329102,-0.19125914573669434,-0.052609004192717634,0.018758654594421387,-0.3296073079109192,-0.06151185941017445,0.017187535762786865,-0.40328149497509,-0.057841338329680525,0.008869707584381104,-0.4509143829345703,-0.055572282635338865,0.04943341016769409,-0.1718125343322754,-0.051268845909007155,0.07416510581970215,-0.28708726167678833,-0.06302824255145367,0.0804598331451416,-0.34711048007011414,-0.06791017588294324,0.06763571500778198,-0.3833591789007187,-0.07115152116931256,0.14415629326020357,-0.09534785774649453,0.14685988721369309,-0.02985208706507167,0.15731419734573554,-0.03190123527681124,-0.10775579629044044,-0.11197414669970428,0.1265354800574527,0.1353219542267216,-0.14496226584969546,0.06414211874499576,0.21918342590873482,0.18449996917176117,0.21502926308035233,0.09088378234779283,0.3520346666558056,0.282345327804664,a_minor
0.0,0.0,0.0,-0.04125985503196716,-0.19572240114212036,-0.05042383035127784,-0.029547691345214844,-0.30239516496658325,-0.05410912220780517,-0.03350478410720825,-0.2812507748603821,-0.03798499663774635,-0.037155866622924805,-0.23951148986816406,-0.023658521077081218,0.008830845355987549,-0.19168663024902344,-0.05272091140453483,0.018511176109313965,-0.32939767837524414,-0.06145848294202949,0.017017841339111328,-0.40312372148036957,-0.05779143010680343,0.009023904800415039,-0.4508610665798187,-0.05565077771846916,0.04946810007095337,-0.17196443676948547,-0.05145557930175926,0.07381892204284668,-0.28727662563323975,-0.06318672706787254,0.0802871584892273,-0.347572922706604,-0.06822332700197364,0.06780952215194702,-0.3839227557182312,-0.07167980780307914,0.05719918661017537,-0.158349232984195,-0.08588435969891065,0.1609629365651632,0.08861068552272316,-0.1245711507435579,-0.004337862690981575,-0.13002118023403714,-0.014944832529298291,0.11703693918315383,0.0974484791696778,-0.19810045631680967,0.21868863562132337,0.18487398552500364,0.4095698119570289,0.09051749043061566,0.576716641418779,0.5001237694168384,a_minor
0.0,0.0,0.0,-0.041401803493499756,-0.19381138682365417,-0.051588344784605056,-0.028839707374572754,-0.30122244358062744,-0.05524051508508876,-0.03289470076560974,-0.2804044187068939,-0.03863149082862094,-0.03676104545593262,-0.23856663703918457,-0.023898830102908164,0.008846461772918701,-0.18980005383491516,-0.053918145062553435,0.01829630136489868,-0.3281038701534271,-0.06268471053444102,0.016877412796020508,-0.4018182009458542,-0.05862348473273471,0.008994221687316895,-0.4491727948188782,-0.056240003021585494,0.049779415130615234,-0.17044860124588013,-0.05256150236927226,0.073597252368927,-0.28698986768722534,-0.06428315809570506,0.08007502555847168,-0.3467252850532532,-0.06894228926502421,0.06750684976577759,-0.38225647807121277,-0.07218926719032481,-0.16127510563727954,0.0249284362936682,-0.10012201571814608,-0.09763319039638324,-0.017110142102086334,-0.18602736574566855,-0.1099369407707238,-0.16623703923359076,0.10909323039129859,-0.06800272727888182,-0.17344770471477566,0.021517187955779005,0.21793221338717025,0.18398513718197135,0.0853178335783577,0.09031002225249635,0.29664631501454586,0.26597903871826284,a_minor
0.0,0.0,0.0,-0.04067182540893555,-0.1949056088924408,-0.050385643866135865,-0.02787601947784424,-0.3012863099575043,-0.05344598847277382,-0.03165590763092041,-0.280254989862442,-0.03673771130688408,-0.03548544645309448,-0.23831892013549805,-0.02201031441636303,0.009430110454559326,-0.19068148732185364,-0.05267746108420113,0.018883943557739258,-0.32801270484924316,-0.0604938949907563,0.017637431621551514,-0.40173307061195374,-0.05621859910733917,0.009817838668823242,-0.4488601088523865,-0.053782035734727174,0.05046737194061279,-0.17100870609283447,-0.0513705994451783,0.0738946795463562,-0.2867967486381531,-0.06245084958918312,0.08068346977233887,-0.34722527861595154,-0.06734182420022705,0.06823557615280151,-0.3829967826604843,-0.07082465025432327,-0.03936712511044488,0.016450442094942425,-0.016355597598338656,-0.17088717072113876,-0.0791386835954262,0.09566401494107768,-0.137145416450492,-0.05371324038255296,-0.14309385396986088,0.10435457821287836,0.020832334002293285,0.19063209641770612,0.21769111618228704,0.18458757763867203,0.36322362244916706,0.08967196049753487,0.5378535618495468,0.4824335893724408,a_minor
0.0,0.0,0.0,-0.041331201791763306,-0.19586792588233948,-0.04983163378409472,-0.028659462928771973,-0.3014490008354187,-0.05351594961456385,-0.031657636165618896,-0.2814181447029114,-0.0374442053513917,-0.0348166823387146,-0.24027082324028015,-0.023054848753133683,0.008980095386505127,-0.19157862663269043,-0.05189948282412615,0.017972946166992188,-0.3289908468723297,-0.0598598619478139,0.01670551300048828,-0.4022098481655121,-0.05608461550644961,0.008952558040618896,-0.44930166006088257,-0.053921220220843225,0.04985851049423218,-0.1716935932636261,-0.05054768673352328,0.07312148809432983,-0.28715935349464417,-0.0618342881577405,0.07970547676086426,-0.3473964035511017,-0.06726441285780993,0.0673949122428894,-0.3840204328298569,-0.0711283361094388,0.09515445495594593,0.16259284823568382,0.1523527340242969,0.17009980480474995,0.047168291370661336,-0.02258753198315877,-0.1908430725252478,-0.19039662837667815,-0.10524085444473125,-0.08625131141858296,0.049543426806149926,0.040382624721113924,0.21578315511848423,0.18281745132964394,0.30110153377117527,0.08929295734096847,0.5165301662267351,0.4733069583402036,a_minor
0.0,0.0,0.0,-0.04037755727767944,-0.19509384036064148,-0.05064362789224219,-0.02790367603302002,-0.3012082278728485,-0.05337292830179763,-0.03184598684310913,-0.28093230724334717,-0.03621381277869773,-0.03558608889579773,-0.23972666263580322,-0.021249099995003462,0.009645223617553711,-0.19082117080688477,-0.05297112966607642,0.01872885227203369,-0.3284018039703369,-0.06129879261087012,0.017579734325408936,-0.4021073132753372,-0.05699420476983619,0.010050773620605469,-0.44917815923690796,-0.05446416641305518,0.050515174865722656,-0.17105665802955627,-0.051486154447303534,0.07440543174743652,-0.28684699535369873,-0.0626224739355905,0.08121693134307861,-0.3472771942615509,-0.06691520790289474,0.06894552707672119,-0.38324807584285736,-0.06996447722147536,0.14024737016526828,-0.10720604817248357,0.16246704209212054,0.16691309638758173,-0.013269996881795254,-0.005897534143189803,0.14646884038503644,-0.1976261687096341,-0.07008510753842256,-0.08556476097022224,0.083515901498253,0.056717435921766424,0.21692370383602447,0.18411529747713415,0.3362475333041765,0.0897531476671473,0.5525094039881525,0.5077305848314378,a_minor
0.0,0.0,0.0,-0.04081466794013977,-0.19596931338310242,-0.050118580517164446,-0.02880042791366577,-0.3024786412715912,-0.052736751791826464,-0.03218773007392883,-0.28091511130332947,-0.03569227462708113,-0.03556373715400696,-0.23909595608711243,-0.02082007384001372,0.009434819221496582,-0.19203272461891174,-0.05239096289574263,0.01809006929397583,-0.3301756978034973,-0.060105972048631884,0.016989588737487793,-0.4037182182073593,-0.05575758596955893,0.009232521057128906,-0.45142099261283875,-0.05324017634688971,0.05043846368789673,-0.1721651554107666,-0.05096996581255553,0.07437354326248169,-0.28789210319519043,-0.06176080932914374,0.08125114440917969,-0.34819886088371277,-0.06629075115620253,0.06865519285202026,-0.3844236731529236,-0.06956535583435652,0.02221426824045397,0.03505214505836746,0.023665363799811157,0.015886476386560044,-0.04777906264496529,-0.16441032309673417,0.10047267588515724,-0.1007839103832343,-0.15157556531963126,0.07343388774320614,0.017404991889379662,-0.047952230978995036,0.21940758631352317,0.18535866107595206,0.28001673610176775,0.09102860112819108,0.4732310023604205,0.4024378699135508,a_minor
0.0,0.0,0.0,-0.040588200092315674,-0.196147620677948,-0.050603122044819315,-0.028313159942626953,-0.3037319779396057,-0.05389729567291113,-0.0320395827293396,-0.2817702293395996,-0.03741386957885595,-0.035606443881988525,-0.23969456553459167,-0.022852568481582125,0.0095328688621521,-0.19179776310920715,-0.0525943046105084,0.01833033561706543,-0.33015191555023193,-0.06025152706028791,0.017039716243743896,-0.40306873619556427,-0.055775147457140406,0.009405076503753662,-0.45025834441185,-0.053222090531605204,0.05038803815841675,-0.17184123396873474,-0.0511655477476296,0.07506060600280762,-0.2866719365119934,-0.06184515037061544,0.08154082298278809,-0.3475976586341858,-0.06629736029030653,0.06893050670623779,-0.3845774978399277,-0.06960237078787657,0.13741500792351374,-0.0837096743784107,-0.03650153231483064,0.061891735590476615,-0.042733593880571574,-0.1227601747161915,-0.1290271463474124,-0.11908776895191027,0.14829799949478917,0.07014263238396873,-0.10736541352646345,-0.07802348729721778,0.21745217821869214,0.18467425951484265,0.1781507841275334,0.09014191049932989,0.3491127640562545,0.27734261147782124,a_minor
0.0,0.0,0.0,-0.0400579571723938,-0.19782376289367676,-0.049089195371252003,-0.02773374319076538,-0.30500322580337524,-0.052816184402090016,-0.032212913036346436,-0.2837770879268646,-0.037178861141782704,-0.036065131425857544,-0.2421393096446991,-0.02331182935891718,0.009885430335998535,-0.19327032566070557,-0.05136246809421152,0.019145071506500244,-0.33059829473495483,-0.05924724990187258,0.017733871936798096,-0.40371696650981903,-0.05542823502479166,0.01014697551727295,-0.45127053558826447,-0.05336914414225191,0.05039137601852417,-0.17271322011947632,-0.050385365427118245,0.07595670223236084,-0.28705859184265137,-0.06138742172775835,0.08262163400650024,-0.3483826816082001,-0.06647427210269541,0.07041573524475098,-0.3863663673400879,-0.07029779830632776,0.19956818446089508,-0.04866106516232577,-0.16839841003204714,0.05878904793046713,-0.18123702638304554,-0.032963805199257346,0.04243520816348506,-0.19580838296002262,-0.18809889584761452,0.17113831396030066,0.03295994669674726,-0.13552195080265367,0.21627498853257718,0.18533024690082284,0.36222089941626723,0.09017457394899614,0.5168621234621802,0.4361579823592509,a_minor
